,user_id,resto_id,review_title,overall_rating,review_date,review_helpful_count,review_text
0,nyayu_ista,1642427243.911741,pewe banget parah.,3.6,2019-12-26,0,"Selain starbucks di jalan asia afrika, starbucks favorite yg lainnya adalah yang di dipatiukur. Tempatnya lumayan luas karena di lantai bawah khusus non smoking dan lantai 2 area full untuk smoking. Dateng kesini pas lagi greener day, pake tumblr official diskon 50%. Seperti biasa pesen caramel java chip frappucino, agak sedikit kemanisan sih tapi its ok lah karena lagi diskon juga, sayang wifinya kurang berfungsi pas kesini."
1,marianefelicia,1642427243.911741,Merry coffe,3.8,2019-11-09,0,Beli ini ya karena pengen tumbler yang free nya .. Tiap beli 2 menu merry coffee langsung dapat tumbler yang kalo sengaja beli 55.000 .. mayan kan yah ... - peppermint mocha : emang pepermint banget berasa nya .. - toffee nut crunch latte : crunch atas nya kerenyes enakk dehh .. 
2,friska_rachelia,1642427243.911741,Selalu dibuatnya untuk kembali,4.4,2019-09-28,1,"Butuh keademan yang hakiki ??🤔 Yang mampu mencairkan suasana hati ??🥰.Iyessss!! Ini dia yang selalu jadi kesukaan Noni👧 ""Signature Coklat"", selalu endes ya, bikin happy gitu bawaannya, perbaiki mood banget.. Mau pagi, siang, sore, malem cocok diminum kapanpun...Terus coba icip juga yang #PumpkinSpiceLatte , perpaduan rempah –rempah dalam segelas latte.. New dari sbucks special autumn😍"
3,hendy_christianto_chandra,1642427243.911741,"Oops, sowreh",3.6,2019-09-10,1,"Saya harus jujur nih kali ini kecewa banget sama menu barunya starbucks edisi winter 2019. Walaupun ini kali pertama dihadirkan di Indonesia karena konon demandnya tinggi, ga gitu yakin akutuh bakal laris atau ga ke depannya karena pada kenyataannya tuh rasanya agak failed. Di bayangan saya ketika mendengar pumpkin spice latte tuh kopi dengan aroma labu yang hangat manis mirip kayak kolak labu. Nyatanya yang ada malah kopi yang sangat dominan aroma rempah seperti cengkeh kayumanis dan jahe. Some of us bilang kayak spiku lah, ginger bread lah, dll. Yah mo gimana lagi kan udah dibeli juga. Sedih dah."
4,Daditya,1642427243.911741,Sbux andalan niw ,4.2,2019-07-14,1,"Ini adalah sbux andalan aku karena outdoor di belakang yang enak banget, suasana yang rindang, banyak pohon dan taneman bikin rasanya adem dan enak buat lama-lama disini 👌👌selain itu disini juga gapernah rame rame banget, mungkin karena walaupun di du, sbux ini bukan berada di pusat keramaian du."
5,hendy_christianto_chandra,1642427243.911741,Ngopi berdua?,4.0,2019-06-05,1,"Saya seneng banget sih kalau ada promo2 yang bisa dimanfaatkan di Starbucks makanya selalu disempatkan untuk datang. Nah promo yang saya pilih kali ini tuh promo dari Line coupon gitu buy 1 get 1 free, terus pas ada program free 17 stars juga kalau pembelian diatas 75 ribu. Jadilah saya gabung kedua promonya (dan kebetulan bisa) terus tambah beli 1 butter croissant biar ngepasin 75 ribu gitu. Croissantnya enak flaky, then caramel machiatonya juga enak pas manisnya. Untuk yang triple mocha, ini menu seasonal tapi cukup pas di lidah saya yang cukup anti manis ini."
6,all_me_yeah,1642427243.911741,Starbucks untuk Pelajar,4.2,2019-01-09,0,"     Namun, bukan berarti harganya juga di desain untuk pelajar juga, hehe.. Harganya tetap di desain untuk konsumen biasa, tidak ada keistimewaan untuk pelajar, kecuali beruntung mendapatkan promo :)     Starbucks ini memang berada di lingkungan pelajar, sehingga suasana interior (dan mungkin eksterior) yang ditawarkan juga khas ""kafe pelajar"" , meja besar di tengah kafe, banyak meja kecil, suasana belajarnya lumayan terasa jika anda kesini, saat malam hari (mengingat pelajar biasanya belajar di kampus kalau siang).       Minuman yang ditawarkan juga khas starbucks, dengan rasa yang enak. Starbucks tidak pernah mengecewakan kalau soal rasa. Mungkin hanya soal harga *eh.        Tapi gapapa. Overall, Starbucks ini memang starbucks yang paling sering saya kunjungi. Mengingat cara termudah untuk mendapatkan pelayanan khas Starbucks, adalah dengan menuju ke tempat ini, bagi orang seperti saya.     Selamat mencoba!   "
7,anndaabigaillee,1642427243.911741,Selalu Favorite ,5.0,2018-12-31,0,Bandung lagiii kenceng anginnya malem ini ... mumpung lagi didaerah taman gesit yang wifinya jugaa edan kencengnya .. dan alhamdulillah lagi dapet rejeki dapet promo dari line .. jadilah kita jajan Americano dan hot signature chocolate utk menghangatkan malam kita ... buy 2 get 1 lohh inii .. 
8,hendy_christianto_chandra,1642427243.911741,Ikut seminar,3.8,2018-10-27,1,"Tujuan saya pergi ke Starbucks DU kali ini bukan untuk ngopi atau ngemil sebenarnya tapi karena ada semjnar Pink Talk yang merupakan kerjasama antara Starbucks Indonesia dan Love Pink Organization yang bergerak dalam bidang kanker payudara. Seminar ini bertujuan untuk memberikan penyuluhan dan berbagai informasi penting tentang kanker payudara. Selain dapat banyak pengetahuan baru, dapat juga beberapa makanan dan minuman starbucks gratis loh! Salah satunya iced pink machiato yang merupakan gabungan antara caramel machiato dengan raspberry syrup. Tambah senang lagi pas dapat free tumbler!"
9,isnani_nasriani,1642427243.911741,Nge dessertt,4.0,2018-01-12,1,"Kesini ga pesen kopi tapi minuman lain yg manisss dan dessert Karena abis dari tempat lain so dessert time sekalian ketemu temen wkwkDessert nya enakk, tampilannya menarikminumannya enak juga trus tampilannya juga menarikWorth it sih menurutku antara tampilan, rasa dan harga.Teruss enaknya nongki di starbuck tuh selain ambiencenya oke banyak tempat ngecharge wkqk"
10,rohmando,1642427243.911741,Starbucks Favorite,4.6,2017-09-27,0," Starbucks ini merupakan starbucks andalan saya karena lokasinya yang paling dekat dari kampus dan tempat tinggal saya. Tempatnya cukup luas dan nyaman, cocok banget sih buat nugas maupun buat nongkrong belaka. Spot favorite saya adalah meja di sebelah kasir, kalau ngak kebagian sih Sharing Table nya juga OK banget. 
 Saya sangat menghindari Starbucks kalau lagi ada promo, karena hampir dipastikan tempat nya bakal crowded dan berisik banget, seringkali saya menyiasati nya dengan datang agak pagian seperti kunjungan saya kali ini. Kali ini termpat nya cukup sepi dan kondusif untuk berkonsentrasi 
 - Gula Merah Machiato (25K [Promo Line])
Untuk yang suka kopi dengan cita rasa kuat sih tidak akan cocok dengan menu ini karena kopi nya agak kemanisan, tapi masih OK sih kalo menurut selera saya. Oh ya, setiap kali Starbucks dan minumannya diminum di tempat, mending minta ke barista nya agar minumannya di serve menggunakan gelas/mug aja, lumayan loh bisa ngurangin konsumsi plastik :) 
 - Cinnamons Roll (22K)
Hampir setiap kali ke Sbux saya selalu memesan roti ini, all time favorite lah pokok'e. Bau cinnamons nya sih wangi banget, trus roti nya juga ngak kemanisan, tekstur luar rotinya krispi tapi dalemnya lembut, trus di dalan rotinya terdapat kismis dengan takaran yang pas. Fix sih, roti ini pas banget untuk nemenin menyeruput kopi 
 - Service
Memang sih ada harga, ada barang, ada pelayanan. Service di Starbucks memang tidak pernah ngecewain. Semua karyawan nya well-educated, well-trained, well-mannered 
"
11,Denise,1642427243.911741,Kafe andalan,4.6,2017-01-15,0," Starbucks DU gede n cozy juga, ada outdoornya juga di belakang.
Nyobain menu baru kalo ga salah namanya salted caramel, diatasnya pake caramel gt n ada serpihan brownies? Kue? Enak deh pokoknya, menu starbuks mana sih yg ga enak? Semuanya aku doyan.
Trus katanya sih ini baru, lupa namanya apa, harganya ga mahal, kayak donat gt isinya kayak selai strawberry. Sedikit kemanisan buat aku karna bagian luarnya masih pakai gula lagi, tp tetep enak kok.
Baristanya juga super friendly ^^ kasi jempol deh 
"
12,Jihanputri,1642427243.911741,Cobain menu baru,3.8,2017-01-10,0," Ada menu baru niiih di starbucks namanya salted caramel mocha crumble, menu ini bisa milih nih mau yg kopi atau non kopi, saya pilihnya yg kopi ajah. Rasanya sih cukup unik buat saya, rasa mokanya yg menurut saya paling dominan lalu terasa juga si caramelnya dan di beberapa bagian terasa juga tuh asin2 nya hihi lucu, ada choco chips nya juga loooh, menurut saya sih rasanya seru hehe. Yok dicoba menu baru di starbucks ini! 
"
13,Jihanputri,1642427243.911741,Caramel Machiato!,3.8,2016-08-01,0," Selalu suka sama caramel machiato nya starbucks, rasa kopi nya udh ga perlu diragukan lg lah yaaa! Wangiii, manisnya pas pokoknya perpaduannya oke banget! Untuk tempat sih saya kurang suka yg disini, kurang menarik aja dan kecil sih tapi ada outdoor nya kok. 
"
14,zelda,1642427243.911741,Coffee starbucks,4.2,2016-06-12,1," Salah satu tempat favorite buat ngopi. Starbucks selalu memberikan rasa yang sama dimanapun saya minum, minuman favorite saya ice caramel machiato paling enak minum di starbucks, rasa caramelnya pas. Minum coffee sambil nyantai bareng temen ato sambil ngerjain tugas emang enak. Starbucks selalu memberi promo2, kalo saya sih pake cc bca free upsize jdi bisa dapet ukuran venti dengan harga grande. Buat lama2 emang paling enak ukuran venti ga abis2 diminumnya.. 
Di tempat ini saya suka outdoornya, ada taman di belakang, kalo gerimis sih ga masalah cuman klo ujan bakalan basah, untung malam ini cuman gerimis kecil aja, tamannya di terangi lampu kelap kelip bikin betah lama2. 
"
15,purwarini_ika,1642427248.677608,Review puppy cake,4.4,2020-10-27,1,"Cobain puppy cake yang coklat, lucu banget ga tega buat makan, tapi akhirnya dimakan juga sih, rasanya enak lembut mirip pudding tapi lebih paket dari pudding, yummie dan art banget sih"
